index,actual,predicted,error,residual,id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
615603,92.7,53.502416136904515,39.19758386309549,39.19758386309549,615603,19,other,bca,0.89,67.8,yes,4.3,good,coaching,high,moderate
516795,45.1,83.99453934260991,38.89453934260991,-38.89453934260991,516795,18,female,bba,7.47,89.6,yes,4.1,average,online videos,medium,moderate
304834,21.0,59.87576198565982,38.87576198565982,-38.87576198565982,304834,22,male,bba,5.57,40.6,yes,7.7,poor,coaching,medium,moderate
429454,91.0,52.15435386675405,38.84564613324595,38.84564613324595,429454,18,other,b.sc,2.26,96.5,yes,6.7,poor,coaching,low,moderate
438988,21.8,60.61198169927198,38.81198169927198,-38.81198169927198,438988,17,other,b.sc,0.94,95.9,yes,8.4,good,group study,medium,easy
194976,91.5,52.80444406349893,38.69555593650107,38.69555593650107,194976,21,other,b.com,0.08,85.1,yes,7.1,good,coaching,high,moderate
629254,26.8,65.48160747584694,38.681607475846945,-38.681607475846945,629254,17,other,b.tech,6.1,54.5,yes,6.3,poor,self-study,high,hard
426597,29.9,68.56009339025653,38.66009339025653,-38.66009339025653,426597,22,other,diploma,3.29,96.6,no,6.8,good,group study,low,moderate
126130,88.8,50.23782615190825,38.562173848091746,38.562173848091746,126130,18,female,ba,1.92,74.5,yes,6.2,poor,coaching,high,moderate
288715,30.2,68.7254398330325,38.52543983303249,-38.52543983303249,288715,20,male,bba,5.48,93.8,yes,5.3,poor,coaching,low,moderate
410018,26.6,65.12308456543435,38.52308456543435,-38.52308456543435,410018,24,female,b.com,2.41,99.0,yes,5.5,good,online videos,high,moderate
372900,90.4,51.90272684566966,38.497273154330344,38.497273154330344,372900,17,female,b.tech,2.15,54.6,yes,8.8,good,coaching,low,moderate
554198,44.1,82.47268749773197,38.37268749773197,-38.37268749773197,554198,24,male,bca,7.91,83.3,yes,6.1,poor,group study,medium,moderate
43197,68.8,30.658199539742803,38.141800460257194,38.141800460257194,43197,18,other,diploma,0.08,43.4,yes,7.9,poor,mixed,high,moderate
75952,93.5,55.368563917169965,38.131436082830035,38.131436082830035,75952,17,other,bba,0.08,95.1,yes,7.2,good,group study,high,moderate
589783,93.7,55.631618717671564,38.06838128232844,38.06838128232844,589783,20,male,b.tech,1.6,73.5,yes,5.6,good,coaching,medium,easy
479255,74.3,36.23850778008289,38.061492219917106,38.061492219917106,479255,24,female,bba,0.08,43.6,yes,6.2,good,mixed,high,easy
101423,42.2,80.12365053387752,37.92365053387752,-37.92365053387752,101423,19,female,b.com,6.37,85.8,yes,6.6,good,online videos,low,moderate
102764,49.2,87.06322496048685,37.863224960486846,-37.863224960486846,102764,24,female,b.com,6.07,90.3,yes,6.7,good,online videos,medium,easy
257991,31.4,69.2227761732737,37.8227761732737,-37.8227761732737,257991,17,female,b.tech,7.26,56.8,yes,6.0,poor,self-study,low,hard
108764,92.9,55.538803095893805,37.3611969041062,37.3611969041062,108764,23,other,bba,2.22,80.7,no,9.4,poor,coaching,high,hard
458147,89.6,52.24265470358197,37.357345296418025,37.357345296418025,458147,17,male,b.com,1.33,92.3,yes,5.5,average,coaching,medium,easy
209703,82.6,45.26392576237453,37.33607423762547,37.33607423762547,209703,22,male,b.tech,1.23,54.7,yes,9.4,average,coaching,medium,hard
50631,99.1,61.77787763670352,37.32212236329647,37.32212236329647,50631,19,female,bca,1.8,81.0,yes,9.0,good,coaching,medium,easy
199720,19.599,56.9203473549902,37.321347354990195,-37.321347354990195,199720,24,other,diploma,3.82,66.5,yes,6.7,poor,coaching,medium,moderate
629595,100.0,62.68123071340412,37.31876928659588,37.31876928659588,629595,23,other,b.sc,2.74,96.1,no,6.1,average,coaching,medium,hard
604287,85.5,48.288129873027714,37.211870126972286,37.211870126972286,604287,19,female,b.tech,0.1,95.8,yes,5.0,average,online videos,high,easy
308258,93.3,56.09990070271803,37.200099297281966,37.200099297281966,308258,22,female,bca,0.59,94.9,yes,9.2,average,mixed,high,easy
398938,24.0,61.18413628425564,37.18413628425564,-37.18413628425564,398938,21,male,diploma,6.61,45.8,yes,5.2,poor,self-study,low,easy
447746,39.0,76.1655272584978,37.165527258497804,-37.165527258497804,447746,23,other,b.com,6.8,79.8,no,7.4,average,self-study,low,easy
378919,21.1,58.26367367407626,37.16367367407626,-37.16367367407626,378919,21,other,b.tech,2.76,89.0,yes,5.6,good,self-study,low,moderate
248837,20.5,57.658649850401105,37.158649850401105,-37.158649850401105,248837,19,male,b.tech,5.53,50.9,yes,6.2,poor,self-study,medium,moderate
612666,20.9,57.99331456113315,37.09331456113315,-37.09331456113315,612666,22,male,b.tech,5.91,47.9,yes,5.5,poor,self-study,medium,easy
359527,92.1,55.02863306585983,37.071366934140165,37.071366934140165,359527,24,male,b.tech,1.25,96.5,yes,9.9,poor,self-study,high,moderate
511874,94.1,57.05261407126885,37.047385928731146,37.047385928731146,511874,20,female,bca,2.8,67.3,yes,9.2,poor,coaching,high,moderate
586174,93.6,56.56667000421554,37.033329995784456,37.033329995784456,586174,20,other,b.com,1.02,73.9,yes,9.0,good,coaching,medium,hard
289109,43.6,80.47192771381725,36.87192771381725,-36.87192771381725,289109,23,other,diploma,7.89,73.8,yes,8.7,poor,online videos,medium,moderate
5841,23.9,60.76251705126462,36.862517051264625,-36.862517051264625,5841,17,other,b.sc,0.71,95.1,yes,8.1,good,mixed,medium,easy
315076,100.0,63.144336017245934,36.855663982754066,36.855663982754066,315076,17,female,bca,2.78,82.4,yes,5.2,good,coaching,medium,moderate
381199,90.3,53.45092035890465,36.849079641095344,36.849079641095344,381199,21,female,diploma,2.85,84.1,yes,4.8,poor,coaching,medium,moderate
586605,98.6,61.75631157916216,36.843688420837836,36.843688420837836,586605,24,other,diploma,2.03,98.6,yes,5.7,poor,coaching,high,hard
542822,88.0,51.16629417318393,36.83370582681607,36.83370582681607,542822,22,male,bca,0.28,83.3,yes,7.6,good,mixed,medium,moderate
101758,91.7,54.884042747047914,36.81595725295209,36.81595725295209,101758,23,female,b.tech,2.06,54.7,yes,9.3,good,coaching,medium,moderate
403602,75.8,39.007428176744696,36.7925718232553,36.7925718232553,403602,19,female,b.com,1.19,51.9,yes,5.7,poor,mixed,high,easy
71458,89.9,53.147200341115074,36.75279965888493,36.75279965888493,71458,23,other,b.sc,0.7,96.1,yes,5.0,good,coaching,high,hard
208868,21.2,57.945590297039004,36.745590297039,-36.745590297039,208868,21,male,b.sc,1.73,94.4,yes,6.6,average,self-study,high,easy
573190,34.5,71.24423294075031,36.74423294075031,-36.74423294075031,573190,22,male,bba,6.12,99.3,yes,5.5,poor,group study,low,moderate
141447,19.8,56.45793302213406,36.65793302213406,-36.65793302213406,141447,22,female,bba,2.24,94.2,yes,5.4,average,online videos,medium,moderate
139356,47.3,83.89422961784949,36.59422961784949,-36.59422961784949,139356,17,other,b.sc,6.85,77.9,yes,8.3,good,online videos,low,easy
202555,41.5,78.03893330948,36.53893330948,-36.53893330948,202555,22,female,bca,6.3,94.7,yes,5.0,poor,group study,high,hard
234095,98.2,61.75640695774212,36.44359304225788,36.44359304225788,234095,23,male,bba,2.81,76.3,yes,6.1,good,coaching,medium,easy
497661,25.0,61.42158723122465,36.42158723122465,-36.42158723122465,497661,24,female,b.tech,6.81,40.6,yes,4.1,poor,self-study,medium,hard
236224,47.1,83.48289827974722,36.38289827974722,-36.38289827974722,236224,23,female,bca,6.11,70.1,yes,9.3,good,online videos,high,moderate
134565,26.0,62.30483693127472,36.30483693127472,-36.30483693127472,134565,17,other,b.com,4.64,71.4,yes,4.6,average,group study,medium,easy
397726,100.0,63.69808907104165,36.30191092895835,36.30191092895835,397726,24,male,b.tech,3.86,96.5,yes,5.2,poor,coaching,medium,easy
333901,21.6,57.83619034149924,36.23619034149924,-36.23619034149924,333901,23,female,b.sc,6.46,57.2,yes,4.1,poor,group study,low,moderate
435636,97.7,61.492976025829755,36.20702397417025,36.20702397417025,435636,22,other,b.tech,1.47,83.6,yes,9.2,average,coaching,high,easy
3473,92.8,56.618137516476565,36.18186248352343,36.18186248352343,3473,24,other,bca,1.64,70.3,yes,7.6,good,coaching,high,easy
575883,35.8,71.96721180833757,36.16721180833757,-36.16721180833757,575883,24,other,b.sc,6.37,54.5,yes,7.9,good,self-study,low,hard
216777,93.7,57.53829690015871,36.16170309984129,36.16170309984129,216777,19,other,b.tech,1.9,97.6,yes,6.5,poor,mixed,high,moderate
613095,100.0,63.851716184229836,36.148283815770164,36.148283815770164,613095,19,other,ba,2.75,68.2,yes,8.9,good,coaching,high,moderate
331657,72.9,36.775134535946584,36.12486546405342,36.12486546405342,331657,20,female,b.sc,0.8,72.8,yes,5.0,average,self-study,low,easy
256619,21.1,57.17048867636949,36.070488676369486,-36.070488676369486,256619,21,male,b.tech,4.21,41.9,yes,9.0,good,self-study,low,moderate
67109,89.5,53.53322472787729,35.96677527212271,35.96677527212271,67109,19,female,b.com,0.92,96.1,yes,6.1,good,coaching,low,moderate
537802,99.5,63.54507855030362,35.95492144969638,35.95492144969638,537802,18,female,diploma,2.41,95.9,yes,6.9,good,coaching,low,moderate
105088,30.4,66.32817877984199,35.92817877984199,-35.92817877984199,105088,21,female,b.sc,7.07,41.3,yes,9.4,average,online videos,low,moderate
66559,53.2,89.08690273833325,35.88690273833325,-35.88690273833325,66559,21,female,b.tech,7.34,82.6,yes,7.4,average,self-study,high,moderate
