index,actual,predicted,error,residual,id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
587410,25.1,60.99802193917513,35.89802193917513,-35.89802193917513,587410,19,female,b.com,1.68,91.2,yes,8.5,poor,coaching,high,moderate
216777,93.7,57.86341358960783,35.83658641039217,35.83658641039217,216777,19,other,b.tech,1.9,97.6,yes,6.5,poor,mixed,high,moderate
265033,93.6,57.7969537232205,35.8030462767795,35.8030462767795,265033,22,female,b.com,3.46,61.3,yes,9.8,good,self-study,low,hard
386120,84.2,48.45040508701739,35.749594912982616,35.749594912982616,386120,19,male,b.sc,2.06,90.6,yes,7.3,poor,online videos,medium,moderate
287227,46.2,81.9346737042792,35.7346737042792,-35.7346737042792,287227,24,male,ba,6.47,63.8,yes,8.0,good,coaching,low,moderate
566804,99.8,64.10922920527106,35.690770794728934,35.690770794728934,566804,22,male,bca,6.42,45.3,yes,5.3,average,online videos,medium,moderate
134565,26.0,61.68298733078051,35.68298733078051,-35.68298733078051,134565,17,other,b.com,4.64,71.4,yes,4.6,average,group study,medium,easy
141447,19.8,55.43579586586153,35.635795865861525,-35.635795865861525,141447,22,female,bba,2.24,94.2,yes,5.4,average,online videos,medium,moderate
362065,93.6,57.99290967205976,35.607090327940234,35.607090327940234,362065,23,female,bba,0.96,97.0,yes,5.9,good,group study,high,moderate
131991,87.4,51.87221075865803,35.52778924134198,35.52778924134198,131991,23,male,b.sc,3.6,68.0,yes,4.6,good,self-study,low,moderate
194906,90.6,55.09702390811198,35.502976091888016,35.502976091888016,194906,20,male,ba,1.79,98.4,yes,7.3,average,online videos,low,moderate
612666,20.9,56.34444346471601,35.44444346471601,-35.44444346471601,612666,22,male,b.tech,5.91,47.9,yes,5.5,poor,self-study,medium,easy
105088,30.4,65.83417662733898,35.43417662733898,-35.43417662733898,105088,21,female,b.sc,7.07,41.3,yes,9.4,average,online videos,low,moderate
298935,91.2,55.79185606701072,35.40814393298928,35.40814393298928,298935,20,male,bca,1.91,50.3,yes,9.7,average,coaching,high,hard
573190,34.5,69.75946380019013,35.25946380019013,-35.25946380019013,573190,22,male,bba,6.12,99.3,yes,5.5,poor,group study,low,moderate
126130,88.8,53.69607941456327,35.103920585436725,35.103920585436725,126130,18,female,ba,1.92,74.5,yes,6.2,poor,coaching,high,moderate
57673,86.9,51.817564951101474,35.08243504889853,35.08243504889853,57673,21,female,bca,2.82,53.6,yes,4.9,good,self-study,high,easy
194976,91.5,56.456885890861244,35.043114109138756,35.043114109138756,194976,21,other,b.com,0.08,85.1,yes,7.1,good,coaching,high,moderate
378919,21.1,56.1357446310262,35.0357446310262,-35.0357446310262,378919,21,other,b.tech,2.76,89.0,yes,5.6,good,self-study,low,moderate
372900,90.4,55.37389050827891,35.026109491721094,35.026109491721094,372900,17,female,b.tech,2.15,54.6,yes,8.8,good,coaching,low,moderate
30343,89.6,54.66294230399168,34.93705769600832,34.93705769600832,30343,18,male,b.com,2.44,71.5,yes,5.9,good,group study,medium,moderate
447746,39.0,73.91874235965264,34.91874235965264,-34.91874235965264,447746,23,other,b.com,6.8,79.8,no,7.4,average,self-study,low,easy
314728,58.2,93.11728587171659,34.91728587171659,-34.91728587171659,314728,18,other,b.tech,6.93,95.3,yes,7.4,average,coaching,medium,moderate
139356,47.3,82.11653865192585,34.81653865192585,-34.81653865192585,139356,17,other,b.sc,6.85,77.9,yes,8.3,good,online videos,low,easy
319312,89.9,55.08390830791828,34.81609169208173,34.81609169208173,319312,19,male,b.tech,2.66,93.9,yes,7.0,poor,self-study,medium,moderate
5841,23.9,58.715620640052244,34.815620640052245,-34.815620640052245,5841,17,other,b.sc,0.71,95.1,yes,8.1,good,mixed,medium,easy
200478,46.2,81.01239138842665,34.81239138842665,-34.81239138842665,200478,23,other,b.tech,6.28,79.5,yes,5.3,good,mixed,medium,moderate
377656,29.6,64.40644812624794,34.806448126247936,-34.806448126247936,377656,23,female,bca,2.81,83.6,yes,9.9,good,group study,medium,moderate
208868,21.2,55.909385678874905,34.70938567887491,-34.70938567887491,208868,21,male,b.sc,1.73,94.4,yes,6.6,average,self-study,high,easy
22915,52.1,86.78755763793815,34.68755763793815,-34.68755763793815,22915,23,other,b.tech,7.22,96.1,yes,4.9,good,online videos,low,moderate
270876,34.7,69.35433733156519,34.65433733156519,-34.65433733156519,270876,19,other,bca,5.84,55.9,yes,5.3,poor,coaching,high,moderate
382882,41.2,75.78617342068452,34.58617342068452,-34.58617342068452,382882,21,other,b.tech,6.28,68.9,yes,6.6,average,self-study,high,easy
624248,67.9,33.32240919090141,34.577590809098595,34.577590809098595,624248,18,female,bca,1.1,48.1,yes,5.7,good,self-study,low,easy
453516,75.0,40.435292133748895,34.564707866251105,34.564707866251105,453516,21,other,ba,0.68,78.7,yes,7.4,average,online videos,low,moderate
80445,89.1,54.54187738647166,34.55812261352833,34.55812261352833,80445,19,female,diploma,0.08,93.7,yes,9.2,average,group study,high,moderate
414839,93.7,59.14304250290099,34.55695749709901,34.55695749709901,414839,19,male,ba,0.77,88.5,yes,6.9,good,coaching,high,moderate
202555,41.5,76.04397437334029,34.54397437334029,-34.54397437334029,202555,22,female,bca,6.3,94.7,yes,5.0,poor,group study,high,hard
542822,88.0,53.50845164604776,34.49154835395224,34.49154835395224,542822,22,male,bca,0.28,83.3,yes,7.6,good,mixed,medium,moderate
170744,26.8,61.266143421752524,34.46614342175252,-34.46614342175252,170744,17,male,ba,6.08,40.8,yes,5.8,average,online videos,low,hard
